ရဲသာရွာသစ်၊ သားရိုး|yethar ywarthit, tharyoe
အမ်းမြို့နယ်|Ann Township 
ရေဝါကွက်သစ်ရွာ|Yaewarkwatthit Village
ဒယ်ပုတ်ကွင်းအုပ်စု၊အင်္ဂပူမြို့|Dalpoatkwin Group, Ingapu City
ကျူလွယ်ရွာ၊ပန်စွဲအုပ်|Kyulwe village, Panswe oat
စု၊ မိုင်းရှူးမြို့နယ်|su, Mineshue Township
အမှတ်(၄)|No.(4)
ကျောက်မြောင်းမြို့၊ ရွှေဘိုမြို့နယ်|KyoukMyaung City, ShweBo Township
ရေတွင်းမြောင်ရွာ၊|Yaytwinmyung Village၊
မင်းလှမြို့၊မကွေးတိုင်း|Minhla City၊ Magway Division 
တောရှည်ရွာ၊ကြခတ်ကွင်း|Tawshae Village၊ Kyakatkwin
အုပ်စု. အင်္ဂပူမြို့|Group . Ingapu City 
ထိပ်ချောင်း၊ကျွန်းညိုအုပ်စု|Htakechaung, Kyounnyo Group
ဘိုကလေးမြို့နယ်|Bogalay Township
ကုန်းကန်ကျေးရွာ|Konekan village
ဝမ်းတွင်းမြို့|Wantwin Township
စံပြရပ်|sanpya yat
ကျောက်ပန်းတောင်းမြို့နယ်|Kyaukpantaung Township
အင်တော(တ)ရွာ၊ထောက်|Inntaw(Ta) village, Htout
ရှာတန်းအုပ်စု၊မြို့သစ်မြို့|Shartan Group, Myothit City
ခလောက်အင်း၊ဇင်းကျိုက်|Khaloutinn, Zinkyite
ပေါင်မြို့နယ်|Pong Township
တုံးပျောငယ်ရွာ|Tonepyawnge Village
မြိတ်မြို့|Myeik city
စိန်ဒေါင်ကြီးရွာ|Seindaungkyi village
လက်ပံလုံအုပ်စု|Latpanlone group
ဟင်္သာတမြို့|Hinthata City
အာရှရပ်|Asia yet
ချောက်မြို့|Chouk City
ကွင်းငယ်|Kwinngal
သပိတ်ကျင်း|Thapatekyin
ရွာကန့်လန့်ရွာ၊နန်း|Ywarkantlant village, Nan
တော်ကျွန်းအုပ်စု|Tawkyoun Group
ဂွေးကုန်းရွာ၊တောင်ဘွေ|Gwekone village, Taungbwe
ပန်းတောင်းမြို့နယ်|Pantoung Township
အနောက်ကိုင်းရွာ|ANoutKaing Village
ပွင့်ဖြူမြို့နယ်|Pwint Phyu Township
အဒူးရွာ|ADu Village
ကဝမြို့နယ်|KaWa Township
ကံမရွာ|kanma village
ရမည်းသင်းမြို့နယ်|Yamaethin Township
ဆတ်သေတောင်ရွာ|satthaytaung village
ရေတာရှည်မြို့|Yaytarshae City
ရပ်ကွက် ၄|ward 4
မိုင်းလွိင်မြို့|Mielwin City
၆/၁၃၅ စိန်ပန်းလမ်း|6/135 seinpan street
မြောက်ဥက္ကလာပမြို့နယ်|North okkalapa Township
ငွေတွင်းနေရာ ပေါက်တော|Nwaytwin nayyar pauktaw
ရုံးပင်ကုန်းရွာ|yonepinkone village
စဥ့်ကူးမြို့နယ်|Sintkyu Township
၈၅၉(၅၇)လမ်း|859(57)Street
သီရိမင်္ဂလာရပ်၊ မော်လမြိုင်|ThiriMingalar Yat, Mawlamyine
တလိုင်းကန်ရွာ|TaLineKan Village
ကျောက်ပန်းတောင်းမြို့နယ်|KyaukPanTaung Township
ပိတ္တာလေးကျေးရွာ|PateTarLay Village
ဝါးခယ်မမြို့နယ်|WaKeMa Township
လိပ်ခွဲ|LateKwal
မလှိုင်မြို့နယ်|MaHlaing Township
တဒါးကြီးရွာ|TaDarGyi Village
ကျောက်ပန်းတောင်းမြို့နယ်|KyaukPanTaung Township
စက်ကြီးတန်းလမ်း၊ အမှတ် ၈ ရပ်ကွက်|Sat Gyi Tan Street, No. 8 Ward
မင်းလှမြို့|Min Hla City
ကွမ်းလျာကျေးရွာ|KwanHlyar Village
မုဒုံမြို့နယ်|MuDon Township
ဆတ်သေရွာ|SatThay Village
ရပ်စောက်မြို့|YatSout City
၁၆/၃၉၇၊ ဦးဖိုးကျား|16/397, UPhoeKyar
လမ်း၊ ရွှေပေါက်ကံ၊ မြောက်ဥက္ကလာ|Street, ShwePaukKan, NorthOakala
ပန်းချီရောင်ကျေးရွာ|PanChiYaung Village
သရက်ချောင်းမြို့နယ်|ThaYetChaung Township
ရတနာပုံအရှေ့ရွာ၊ ရပ်စောက်|Yadanapone East Village, YatSout
နယ်မြေ ၄ ဝန်းဇင်းရပ်|naemyay4 winzin yat
မိတ္တီလာမြို့နယ်|meihtilar
စကခ ၁၈|sa ka kha 18
မိုင်းဖြတ်မြို့|miepyit City
အောင်လှိုင် ရေလိန်|aunghlaing yaylain
မော်လမြိုင်ကျွန်းမြို့|Mawlamyine kyun City
ကျေးနီကျေးရွာ|kyayni village
လက်ပံတန်းမြို့|latpantan City
သစ်ရာကောက်ရွာ|Thityarkouk village
မကွေးမြို့နယ်|Magway City
ကြည်သာရွာ ၊ |Kyi Thar Village
ဇင်ပြွန်ကုန်းအုပ်စု|Zin Pyaun Kone Group
ချောင်းနားရွာ|Chaung Nar Village
ပေါက်မြို့နယ်|Pauk Township
သရက်ကုန်းကျေးရွာ|Tha Yet Kone Village
ကျိုက်ထိုမြို့နယ်|Kyaikto Township
စိန်တောင်ရပ်ကွက်|Sein Taung Ward
ကမာဝက်မြို့, မုဒုံမြို့နယ်|Kamar Wat City, Mudon Township
ပန်းပဲခု ၊ နတ်သူရဲအုပ်စု|PanPaeKu , NatThaYae Group
ပျဉ်းမနားမြို့နယ်|PyinMaNa Township
ကောက်ကွေ|KaukKway
လှည်းကူးမြို့|HlalKu City
သရက်အုပ်ကလေး|ThaYetOak KaLay
သရက်အုပ်အုပ်စု၊ ဟင်္သာတ|ThaYetOak Group, Hinthada
မြို့|City
ပညင်းရွာ|PaNyin Village
ရေစကြိုမြို့နယ်|YaySaKyo Township
၅၃၆/၂ အေးစေတီ|536/2 Ayesaydi
မြစ်ကြီးနားမြို့|Myitkyinar Township
မြို့သစ်/ဇေယျဝတီ|MyoeThit/ZayyaWadi
မြို့မ(၁)/ ဖြူးမြို့နယ်|MyoeMa(1)/ Phyu Township
ပညင်းရွာ|PaNyin Village
ရေစကြိုမြို့နယ်|YaySaKyo Township
အတွင်းနုံကော်ရွာ|ahtwinnone kae village
ညောင်တုန်းစုအုပ်စု|Nyaungtone su Group
ရွှေဆံပြည့်ရွာ သရောဂျီ|shwesanpyae village thayawgyi
မင်းလှမြို့|Minhla City
ထီရိကျေးရွာ|hteeri village
ညောင်ရွှေမြို့နယ်|Nyaungshwe Township
ရွာသစ်ကြီးကျေးရွာ|ywarthitgyi village
တွံတေးမြို့|Tomtae City
ပမ္မတီး၊ နမ-၇|Pammatee၊ Nama-7
မြစ်ကြီးနား|Myittgyinar 
ဈေးမရပ် စလင်းမြို့|Zayma ward Salin city 
မကွေးတိုင်း|Magway devision 
ရိပ်သာရပ်ကွက်|YateThar Ward
လှည်းကူးမြို့နယ်|Hlalku Township
အောက်ဘောလည်|Aout BawLal
တကိုင်းမှီ၊ ထန်းတပင်|TaKaingMhi, HtanTaPin
မြို့နယ်|Township
မင်းရွာ ကသစ်တိုင် အုပ်စု|Min village Kathit taing group 
ရွှေတောင်မြို့|Shwe Taung city 
ဇေယျာမွန်ရပ်ကွက်|Zay Yar Mon Ward
ကျိုက်ထိုမြို့|Kyaikto City
ရှင်ကြီးပျောက်ရွာ|ShinGyi Pyout Village
သာပေါင်း|TharPaung
၄၇၀/၁၅လမ်း၊ (၁၀)|470/15 Street, (10)
ရပ်ကွက်၊ တောင်ဥက္ကလာ|Ward, SouthOakalar
၅၁၀(ခ) တော်ဝင်လမ်း|510(kha)yawwin street 
(၈၇)ရပ်ကွက် ဒဂုံ(ဆိပ်ကမ်း)မြို့နယ်|(87)ward Dagon(seikkan) township 
သဲဖြူချောင်းကျေးရွာ|ThaePhyu Chaung Village
ကျိုက်ထိုမြို့နယ်|KyikeHto Township
စည်ပင်ရွာ၊|SiPin Village
ကျောက်ပန်းတောင်းမြို့|KyaukPanTaung City
အိုင်ကလောရွာ|AingKaLaw Village
ကျွဲတဲကုန်းအုပ်စု၊ မြန်|KwyalTalKone Group, Myan
အောင်မြို့|Aung City
အပြင်ပဒံကျေးရွာ|APyinPaDan Village
ရှမ်းကွင်းရွာ|ShanKwin Village
မြောင်းမြမြို့နယ်|MyaungMya Township
လှည်းကူးအုပ်စု၊ကမြိုင်|Hlegu group, Kamyine
ပန်းတောင်းမြို့နယ်|Pantoung Township
ယင်သာစည်(ရ) ရွာ|Yintharsi (7) village
မကွေးမြို့နယ်|Magwe Township
တင်ပင်ခုံ ခေတ်အေးအုပ်စု|Tinpinkon Kyitaye group 
ဇေယျာသီရိမြို့နယ်|Zayyar thri township 
ညောင်ပင်ခင်တန်းကျေးရွာ|Nyaung pin kin tang Village
သုံးခွမြို့|Thone Gwa City
ကျောင်းကုန်းလေးရွာ၊|Kyaungkonelay Village၊
ကျောင်းကုန်းအုပ်စု၊ ရွှေတောင်မြို့|Kyaungkone Group၊ Shwetaung City 
ထူးဝရွာ ထူးဝအုပ်စု|Htoowa village htoowa Group
အင်္ဂပူမြို့နယ်|Ingapu Township
အသနော်ကျေးရွာ|ahtannar village
သာယာဝတီမြို့|Tharyarwaddy City
၅၁၂/ကဗိုလ်တာရာလမ်း|512/ka botaryar street
၁၈ရပ်ကွက်|18 ward
မြို့မစေတီတောင်|Myomasayditaung
ဘူသီးတောင်မြို့|Buthitaung city
ကျောင်းပြိန်ရွာ|KyaungPyain Village
ရမ်းဗြဲမြို့နယ်|YanBwyal Township
လွန်ငင်|Lonngin
ပျော်ဘွယ်မြို့နယ်|Pyawbwe Township
ရပ်ကွက်၈၊ နမ ၉|Ward 8, NaMa 9
ကျောက်မဲမြို့|KyaukMae City
ဂင့်ဂဲကျေးရွာ၊ဂင့်ဂဲ|GintGal Village, GintGal
အုပ်စု၊ မြင်းခြံမြို့|Group,MyinChan City
ထီးပေါ့ကလိုရွာ|HteePotKaLo Village
ကြာအင်းဆိပ်ကြီးမြို့|KyarInnSeikGyi City
ကျောက်အိုးကျေးရွာ|KyaukOae Village,
ရမည်းသင်းမြို့နယ်|YaMaeThin Township
ကရင်ကူးလေးရွာ၊ ကရင်ကူးအုပ်|KaYinKuLay Village, KaYinKu Oak
စု၊ အင်္ဂပူမြို့နယ်|Su, IngapuTownship
ကုလားတန်းကျေးရွာ|KaLarTan Village
ကျောက်တန်းမြို့နယ်|KyaukTan Township
အိုင်တလုပ်ရွာ၊ အိုင်တလုပ်အုပ်စု|AingTaLote Village, AingTaLote Group
လက်ပံတန်းမြို့|LatPanTanCity
နဲသမိန်ကျေးရွာ|NalThaMain Village
ထန်းတပင်မြို့နယ်|Htantapin Township
သင်္ကန်းကုန်းကျေးရွာ|Thinkankone village
ငပုတောမြို့|Ngaputaw Township
ရွာသစ်ရပ်ကွက်|Ywarthit ward
မိုင်းပန်မြို့|Miepan City
အမှတ်၇ ရပ်ကွက်|no 7 ward
ချောက်မြို့နယ်|Chauk Township
လက်ပန်ရွာ|Lattpan village
ပုသိမ်မြို့နယ်|Pathein City
ကျူတောကျေးရွာ|Kyutaw village
ထန်းတပင်မြို့|Htantapin City
ဆောက်လုပ်ရေးလှိုင်း|Construction
လွိုင်ကော်မြို့|Loikaw City
မြေခဲတောင်ရွာ|Myaekhaetaung village
ရေစကြိုမြို့နယ်|Yaesakyo Township
ကံပေါက်ကုန်း ၊ နွားခြံကုန်းအုပ်စု|Kan Pauk Kone , Nwar Chan Kone Group
ရွှေတောင်မြို့|Shwe Taung City
တပိုးထန်း၊ ဇွဲထော်|TaPoeHtan, Zwal Htaw
ကျေးရွာ၊သုံးခွမြို့နယ်|Village, Thonegwa Township
ညောင်ကုန်းကျေးရွာ|NyaungKone Village
မှော်ဘီမြို့နယ်|MhawBi Township
ရွှေဘိုရွာမ၊ ပွင့်ဖြူ|ShweBoYwarMa, PwintPhyu
ရွှေပန်းတောရွာ၊|Shwepantaw village
ကြို့ပင်ကောက်မြို့|Kyopinkout City
